,date,title,content,gall_name
438,2022.11.13 00:41,여론조사 꽃) 더불어민주당이 정당 지지율 50%에 육박!,"이는 여러분들께서도 아주 잘 보시다시피, 여론조사 꽃 조사 결과, 우리 대한민국의 더불어민주당이 정당 지지율에서 무려자그마치 50%에 육박하는 48.0%를 기록해낸 모습임. 만 18세~29세, 30대, 40대, 50대에서...",최강욱
439,2022.10.27 11:23,국짐노들 망상속의 더불어민주당 vs 더불어민주당,(국짐노들 망상속의 더불어민주당) - 운동권이 80년대 이념으로 무장하고 있으며 유사시에 김일성 김정일 김정은 만세 혹은 마르크스레닌주의 만세를 외칠 것 - 민주노총과 강력히 연대하고 있으며 이는 해방...,중도정치
440,2022.11.10 16:09,단독)국회 본회의 중 게임하는 권인숙 더불어민주당 의원,권인숙 더불어민주당 의원이 10일 오후 국회에서 열린 본회의에서 모바일 게임을 하하는 장면이 포착됐다. 권 의원의 게임은 본회의를 마치고 퇴장할 때까지 계속됐다. 한편 지난 2012년 최재성 민주통합당 의원...,국내보수
441,2023.01.02 00:49,더불어민주당이 국민의 힘보다 기본적으로 10% 내외로 앞서는 구도구만.,"여러분들께서도 다들 잘 보시다시피, 우리 대한민국의 여론조사 꽃의 최근 여론조사에 의하면, 더불어민주당이 국민의 힘보다 기본적으로 10% 내외로 앞서는 구도임을 아주 잘 알 수 있음. 실제로, 정당 지지율...",최강욱
442,2023.01.13 12:43,더불어민주당이 선녀로 보일 정도로 미국 민주당이 더 좌경화됐다,는 말이 어떻게 더불어민주당 올려치기로 해석되지? ㅋㅋ 역시 좆대남은 저능아세대가 맞다,보수정치
443,2022.12.18 02:22,더불어민주당 역대 대통령 모습!,윤보선/장면-김대중-노무현-문재인-이재명 순. 우리 대한민국의 더불어민주당 현 대표 재직 중인 이잼은 우리 대한민국의 제 21대 대통령으로 생각하자. 멋있는 분들이다! ㅎㅎㅎㅎㅎ,최강욱
444,2022.12.31 19:52,우주발사체 성공에 찍소리를 못하는 더불어민주당,그나마 장군 군인출신 ... 김병준 더불어민주당 은 발사는 성공적으로 인정하고 문재인정부 덕분이라고 소리를함 ㅋㅋㅋ,힙합
445,2022.11.10 16:07,단독포토] 국회 본회의 중 게임하는 권인숙 더불어민주당 의원,권인숙 더불어민주당 의원이 10일 오후 국회에서 열린 본회의에서 모바일 게임을 하하는 장면이 포착됐다. 권 의원의 게임은 본회의를 마치고 퇴장할 때까지 계속됐다. 한편 지난 2012년 최재성 민주통합당 의원...,기타 국내 드라마
446,2022.12.18 03:19,40대가 더불어민주당 우위로 된 게 10여년 전부터네.,"운동 성공 이후, 사회 주류 세대가 친민주 성향으로 굳어진 게 정말 크다고 본다. 흥미로운 부분이니, 많은 참조해주시기들 바람. 이잼 중심 더불어민주당이 재집권 및 장기집권-독주 체제를 확립해내길 바라겠음...",최강욱
447,2022.12.24 11:35,더불어민주당 2023년 예산안 주요 성과,"민주당이 해냈습니다! '따뜻한 민생예산' <더불어민주당 2023년 예산안 주요 성과> ✅ 지역사랑상품권(지역화폐) 3525억원 반영 ✅ 공공임대주택 6630억원 증액, 쌀값안정화 401억원 증액 ✅ 경로당 냉난방비등...",기타 국내 드라마
